title,body,tags
Compiling error when I use make,<p>I'm getting this error while I'm compiling. I'm not sure what to do:</p><pre>gcc: error: /usr/local/share/cc0/lib: No such file or directorygcc: error: /usr/local/share/cc0/runtime: No such file or directorymake: *** [c0vm] Error 1</pre><p></p>,c0vm
autolab error,"<p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ix087c2ns5p656/ieyro1rdiy76q5/j1numc53lqmd/Screen_Shot_20170418_at_1.53.43_PM.png"" alt="""" /></p><p>i'm getting this error when i submit to autolab, but not when i run\xa0it. i'm not really sure how to fix this.\xa0</p>",lightsout
Failed test case,"<p>Hi,\xa0</p><p>on autolab the only case that's failing is:\xa0</p><p></p><pre>Test lightsout2 on boards/5x6-3moves.txt<br />*** TEST FAILED! Instead of returning 0 (success) as expected<br />*** a contract or assertion failed.</pre><p></p><p>Any reason why this might be failing?\xa0</p>",lightsout
lightout value_free_fn,"<p>I am writing value_free_fn for lights out. So we need to free the struct board_data pointer, which has been cast to void* in the hash table. Can I free a void* pointer directly? Or I need to cast it back to struct board_data* and then free it? Thanks</p>",other
Are you serious,-135,other
bipush,"<p>I know we have to push a constant into the stack , but which constant exactly, where is it given??</p>",c0vm
division by zero error,"<p>coin gives a ""division by zero"" error for x >> y and x << y if y is negative, should our error also be ""division by zero"" or do we say shift by left or right should be positive?</p>",c0vm
hash function??,"<p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ix087c2ns5p656/if31lcvf4dv3wr/j1n1woipeur3/Screen_Shot_20170418_at_12.28.14_AM.png"" alt="""" />If I fix my hash function to be more efficient, will this problem resolve itself?</p>",lightsout
What to return for Task 7,Should we be printing/returning the index or the (row:col) coordinate for task 7?Thanks,lightsout
case/break,"<p>can someone please explain what case/break is and what it does exactly?, like how does the program identify which case is the one to go to and what happens when we break..</p>",c0vm
printing causes segmentation fault: 11 error,"<p>Hi I'm in the process of debugging lights and I've run into a very strange error.</p><p>If I add the print statement""fprintf(stderr, ""0"");"" I get a segmentation fault: 11 error, and I don't understand why, if I comment the line out the code runs to completion without any crashes. any idea on why this is happening?</p>",lightsout
error,"<p>Why am I getting this error?(not accepted by loplayer??)<img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ix087c2ns5p656/if31lcvf4dv3wr/j1n01q6dqiak/Screen_Shot_20170417_at_11.37.49_PM.png"" alt="""" /></p>",lightsout
grace day usage,<p>Can i use more than one grace day for one programming assignment? I got confused about the deadline and just knew that prog 10 is due tonight. I have not used any grace day for the course yet. Thanks</p>,logistics
How the output should look,"<p>I'm extremely confused how the output for task 7 should look. should it just be a list of coodrs that need to be pressed, just a list of indexes that need to be pressed, or something else entirely?</p>",lightsout
lightsout autograder problem,"<p>When I submit my lightsout file, autolab says the following:</p><pre>Testing Task 6-7 (lightsout.c)--------------------------------------------------Checking for the existence of lightsout *** TEST FAILED! Expected the file to exist and it did not.*** Hint: Skipping tasks 6-7 (test did not compile w/o -DDEBUG)</pre><p>I don't understand why! My lightsout file definitely exists and it compiles without a problem (also without debug)</p>",lightsout
ht_insert,"<p>I am getting a valgrind memory leak error that I can't figure out. This is the error:</p><p></p><pre>==23845==    by 0x4008FE: xcalloc (xalloc.c:16)==23845==    by 0x400EEC: hdict_resize (hdict.c:108)==23845==    by 0x4011B2: hdict_insert (hdict.c:152)==23845==    by 0x4027D7: ht_insert (board-ht.c:43)==23845==    by 0x402B25: solver (lightsout.c:72)==23845==    by 0x402C6D: main (lightsout.c:95)<br /><br />==23845== LEAK SUMMARY:==23845==    definitely lost: 64 bytes in 1 blocks==23845==    indirectly lost: 136 bytes in 7 blocks==23845==      possibly lost: 0 bytes in 0 blocks==23845==    still reachable: 0 bytes in 0 blocks==23845==         suppressed: 0 bytes in 0 blocks==23845== <br />==23845== ==23845== For counts of detected and suppressed errors, rerun with: -v==23845== ERROR SUMMARY: 1 errors from 1 contexts (suppressed: 1 from 1)</pre><p>Line 95 in lightsout.c just calls a helper function called solver. Line 72 in the function solver just calls ht_insert. This is my code for ht_insert. What could be causing the valgrind memory leak error?</p><p></p><pre>void ht_insert(hdict_t H, struct board_data *DAT){  REQUIRES (H!=NULL);  struct board_data* result=(struct board_data*)hdict_insert(H, &(DAT->board),  DAT);  if (result!=NULL) free(result);  return;}</pre><p></p>",lightsout
printing issue,"<p>seems like I'm not getting what I want for row and col. Why am i getting 00, 01, 02 for col??</p><p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ix087c2ns5p656/if31lcvf4dv3wr/j1mvp64otzu1/Screen_Shot_20170417_at_9.32.20_PM.png"" alt="""" /><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ix087c2ns5p656/if31lcvf4dv3wr/j1mvpdkr4xpo/Screen_Shot_20170417_at_9.32.09_PM.png"" alt="""" /></p>",lightsout
Not printing anything,"<p>when I compile and run my code, lightsout, it doesn't print anything..</p>",lightsout
queues keeping track of moves,"<p>When we keep track of the moves using a queue (which is added as a field to the struct board_data), how do we know when the sequence of moves wasn't successful and we should empty the whole sequence of moves?</p><p></p><p>Or, in other words, when should we add a move to the queue?</p>",lightsout
Implicit declaration when compiling,"<p>I got the error ""implicit declaration of function xmalloc"" as an error in my code, and I don't know why</p>",lightsout
Output not expected by loplayer,"<p>Different guy than below, does this mean that my code works and that I just formatted it wrong? or does it mean that my code simply compiles but may or may not be correct.</p><p></p><p>Thank you!</p><p></p>",lightsout
Output not accepted by loplayer,"<p>don't need an answer</p><p></p><p>I don't get it, I'm not printing out anything that's not supposed to. I say fprintf( stdout, ""%d%d\"", row, col ) and whether or not the board is solvable, but it's still giving me this error. The solution, when I try it, works.\xa0</p><p></p><p>what is happening\xa0</p>",lightsout
Can't open file for writing,"Hi, for some reason the vim editor will not let me save/quit files. If I enter "":wq"" (after an escape) the editor will say ""Can't open file for writing"". I also looked this problem up online, which led me to use 'sudo vi' instead of 'vim', which caused me to enter an incorrect password and the 'incident to be reported'. My intentions were merely to solve this issue and had nothing to do with accessing private spaces. I am not sure what to do at this point.Additionally, it seems my disk quota has been exceeded. Thanks,Toni",lightsout
bug for lightsout,<p>After I run the prigram I got this:</p><p>Violation: key in index 0 claims to belong in index 18. This indicates that client code modifies data in the hashtable. lightsout-d: lib/hdict.c:129: hdict_insert: Assertion `is_hdict(H)' failed.</p><p></p><p>how can this be fixed and where should I look for the bug??</p>,lightsout
TOO MANY ERRORS,"<p>Hi, I have so many errors and none of them are in files that I have modified and I don't know what's going on please help. Some include expected ',', ';', '=', 'asm' or '__attribute__' before '{', others are expected declaration specifiers, unknown type name 'fpos_t', storage class specified for parameter..., \xa0expected\xa0declaration specifiers in lib/queue.h.</p>",lightsout
Timing out with BFS,"<p>My lightsout solution uses BFS and it always gets the right answer, but takes way too long with 5x5 boards and up. It uses the exact same while-for-for loop format as in the writeup, but I discovered that while solving a 5x5 with no solution it iterates nearly 2^28 times (instead of 2^25). Any idea what the problem might be?</p>",lightsout
Valgrind errors,"<p>For task 6/7:</p><p></p><p>Prior to returning, I have a series of ""free""s (queue_free, hdict etc.) to free up the allocated memory. However, when I test the code on a board, I get a long error message beginning with:\xa0*** Error in `./lightsout': free(): invalid pointer: 0x0000000001277034 ***</p><p></p><p>When I remove the free statements, my code runs fine and produces the right answer. However, if I try to run it with valgrind without those frees, I get major memory leaks. Anyone know why this might happen? I'm stuck with either getting points docked off for memory leaks or getting a 0 because of the error mentioned above.</p><p></p><p>Thanks</p>",lightsout
Unused Variable error file_read(),"<p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ix087c2ns5p656/hrh5ezercjeaa/j1moboyj1f3u/read.JPG"" alt="""" width=""509"" height=""94"" /></p><p></p><p>Not sure how else to call file_read() because the file in the file_read() function in boardutil returns a bool but I dont need it use it...?</p>",lightsout
confusion about types in C,"I read the lecture notes for ""Types in C"" but i am really confused, i want to know from scratch how to cast from char to int, unsigned int , etc because i don't understand whats going on in question 3 of written 12. Any other suggestion where i can read about these types in detail?\xa0",lectures
c0vm,"Can someone explain section2.2, first paragraph,last sentence? On page 5 of the write up",c0vm
ERROR: implicit definition of function 'REQUIRES',"<p>Not sure why this is an error I am getting, arent REQUIRES and ENSURES part of c? do I need to #include another file?</p>",lightsout
file_read,"<p>Hi, this is the code I'm using for file read. It starts with the exact thing from the writeup where we define char *board_filename, then:</p><p></p><p>\xa0 \xa0 bitvector B = bitvector_new();</p><p>\xa0 \xa0 uint8_t width =0;</p><p>\xa0 \xa0 uint8_t height =0;</p><p><br /></p><p>\xa0 \xa0 bool read = file_read(board_filename, &B, &width, &height);</p><p></p><p></p><p>Valgrind is giving me this:</p><p>==45824== Command: ./lightsout boards/2x2-0.txt</p><p>==45824==\xa0</p><p>==45824== Stack overflow in thread 1: can't grow stack to 0xffe801ff8</p><p>==45824==\xa0</p><p>==45824== Process terminating with default action of signal 11 (SIGSEGV)</p><p>==45824==\xa0 Access not within mapped region at address 0xFFE801FF8</p><p>==45824==\xa0 \xa0 at 0x4016A8: free (board-ht.c:31)</p>",lightsout
file_read,"<p>When I run my lightsout it segfaults, and when I run it with valgrind (right before file read I have a fprintf statement saying ""begin file read"" it says:</p><p></p><p>begin file read==10797== Stack overflow in thread 1: can't grow stack to 0xffe801ff8</p><p></p><p>Any idea how to fix this/ what the problem is?</p>",lightsout
ht_insert fail conditions,"Autolab gives me the following output for task 4:Test board-ht-grade-d add_repeated1, expect assertion failure *** TEST FAILED! Expected a contract to fail.*** Actual outcome: Your program ran to completion, but should have signaled an error or failed a contract*** Hint: Tests that ht_insert fails if you add a struct containing a board already in the tableI don't understand this response. Is ht_insert supposed to fail tests when a duplicate is inserted?As I read the writeup, if ht_insert is passed a board which has the same bitvector representation as a board already stored, it will call hdict_insert which will update the value at whatever the key hashes to and return a pointer to the old board, which we then free because it is no longer in use.I don't see why ht_insert should ever fail as Autolab says - is it supposed to have a contract failure / error on duplicate insertions?",lightsout
Task 5,"<p>On the write-up it says, ""ht_insert, which adds a new struct board_data to the table.""</p><p>Does this mean we add\xa0a completely new struct from *DAT or do we add the *DAT to the table?</p>",lightsout
Confused about board-ht.h,"<p>So <tt>struct board_data </tt>is defined in board-ht.h but it isn't included when we compile the program. Then how would we access the information along with a board?</p><p></p><p>My idea of solving the problem is something like this, each time you see a new board, you record this board, together with the steps you took to get to this board, in the hash table. And once we see a lights out board, we return the steps that lead to turning all the lights out (i.e. the 'solution'). I'm just confused how we can still do that without being to explicitly accessing the steps, which I thought can be an extra field in <tt>struct board_data. </tt>Honestly, I'm a little confused why board-ht.c can run at all without knowing what struct board_data is...</p><p></p><p>I think I probably misunderstood something badly. Could you let me know what it is?</p>",lightsout
Error with Sublime,"<p>how do i fix this?<img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ix087c2ns5p656/iprn5biyktx13p/j1mmr6iwvvom/Capture.PNG"" alt="""" /></p><p>like where do i specify the path? it was work earlier in lab???</p><p></p><p></p><p>NEVERMIND RESOLVED</p>",c0vm
Checking understanding of hdict,"<p>In my code I pass in a value_free_fn into hdict_new() when writing my ht_new(). The value_free_fn I passed in uses hdict_free() in it. I don't think this make sense anymore, as the hdict_free() probably uses the value_free_fn passed into hdict_new() to work as intended.</p><p></p><p>Is my understanding correct?</p>",lightsout
Lights out error,<p></p><pre>error: unterminated #ifndef #ifndef _BOARD_HASHTABLE_H_</pre><p>Does anyone know how to fix this error?</p>,lightsout
ERROR : lightsout.c:13: undefined reference to `bitvector_flip',"<p>Hi,\xa0</p><p></p><p>I keep getting this error. I checked to make sure that all my files had #include lib/bitvector.h"" but I keep getting this error in my lightsout.c implemetation.</p><p></p><p>Is there something else I am missing?</p><p></p><p>Thanks\xa0</p>",lightsout
uninitialized value,<p>Hi I'm not really sure what could possibly cause the uninitialized value error below.</p><p></p><pre>==3331== Conditional jump or move depends on uninitialised value(s)==3331==    at 0x4025EC: bitvector_get (bitvector.c:14)==3331==    by 0x402717: my_hash (board-ht.c:17)==3331==    by 0x400A2A: hashindex (hdict.c:32)==3331==    by 0x400B2E: is_chain (hdict.c:44)==3331==    by 0x400C9A: is_chains (hdict.c:59)==3331==    by 0x400D11: is_hdict (hdict.c:69)==3331==    by 0x40126C: hdict_free (hdict.c:161)==3331==    by 0x402E91: main (lightsout.c:117)==3331== </pre><p></p>,lightsout
Debugging,"<p>What's the best way to debug lightsout? if the file compiles but then crashes or segfaults when I run it, how can I figure out where the issue is? I can't print anything to stdout</p>",lightsout
Function inside a struct,"<p>How do you access a function inside a struct?</p><p></p><p>I've tried (*A->func)(input), where A is the struct, and func is the field name for the function pointer. But that does not seem to work.</p>",lightsout
"bool, and char are all W32s",<p>so bool are stored as either integer 1(for true) and integer 0 (for false) and chars are stored as their ascii values?</p>,c0vm
What's the difference between xmalloc and malloc?,"<p>I understand that xmalloc is a function that you've given to us, but what does it do differently than malloc?</p>",other
casting signed to unsigned,"<p>It doesn't make sense to me to cast a signed integer to an unsigned integer. Does that mean that if the int is negative it becomes a positive \xa0int? if so , doesn't that result in producing the wrong result?. if am adding -4 and -3, signed int types, then I cast them to signed ints, it would result in 7 and not -7</p>",c0vm
help with an error,"<p>Hi, has anyone seen this error?</p><p></p><p>Violation: key in index 429 claims to belong in index 104.<br />This indicates that client code modifies data in the hashtable.<br />lightsout-d: lib/hdict.c:91: hdict_lookup: Assertion `is_hdict(H) && x != ((void *)0)' failed.<br />Aborted (core dumped)</p><p></p><p>Thanks.</p>",lightsout
BITVECTOR_LIMIT and sizeof(bitvector),"<p>When I change BITVECTOR_LIMIT and the type of bitvector to uint64_t or uint8_t in bitvector.c and print them out in lightsout.c, the BITVECTOR_LIMIT in lightsout is still 25 and sizeof(bitvector) is still 4 like I didn't change them. Why is this? How can I made these changes across all my files?\xa0</p>",lightsout
Question on val2int,"<p>When we convert from the c0 val to int, what type is the int? Is it int32_t?</p>",c0vm
task 5 board_free function,"<p>For task 5,\xa0</p><p></p><p>I don't see a bitvector_free function in the interface file. Does that mean all we need to do is to free the board_data structure and ignore freeing bitvectors?</p><p></p><p>Thanks</p>",other
"In uint64_t test, would BITVECTOR_LIMIT be greater than 64?","<p></p><pre>bitvector.c: In function 'bitvector_equal':bitvector.c:28:3: error: left shift count >= width of type [-Werror]   count = count << BITVECTOR_LIMIT;   ^cc1: all warnings being treated as errors[15-122] Compilation with non-uint32_t bitvectors</pre><p>I am pretty sure I got this error when auto lab is testing on bit vector being type uint64_t.\xa0</p><p>However, in this case, I define count to be</p><pre>bitvector count = 0-1;</pre><p>Is that the BITVECTOR_LIMIT can be greater than the length of the type. If so, do we just ignore the part that is greater and only use bit vector to store 64 bit of value? Thanks</p>",lightsout
Queue not dequeueing correctly,"<p>I'm working on task 6/7, the lightsout solver. \xa0I'm following the pseudocode BDS algorithm. \xa0I passed all the autolab cases for the hash table, so\xa0that should be working. \xa0I enqueue every time I get NULL for ht_lookup with the newboard, but after going through every row/col pair and I need to dequeue the next element, deq() is returning the last board I inserted and I get caught in a cycle between my original board and the one corresponding to pressing the last index. \xa0I don't know how to get this to work properly, any guidance would be appreciated.</p>",lightsout
What could cause a file not to compile on autolab,"<p></p><pre>*** TEST FAILED! Expected a contract to fail.*** Actual outcome: File did not compile*** Hint: Precondition tests, Task 2</pre><p>I am not sure why my file would not compile in this case but compiles in other cases? What does the actual outcome indicate?</p><p>Thanks</p><p></p><p>EDIT: also I have included all the contracts give in .h file. Do we need to add more contracts ourselves?</p>",lightsout
autolab time out,<p></p><pre>Test lightsout2 on boards/5x6-3moves.txt*** TEST FAILED! Instead of returning 0 (success) as expected*** the autograder timed out after 10 seconds.</pre><p>This is what autolab has shown. I used BFS with a hash table shown at the end of the writeup. I am not sure how I could make my code run faster. Thanks\xa0</p>,lightsout
Memory leak problem,"<p>If I put the free(B) on the conditional exit, valgrind gives me green light for 2x2-0. However, it says I'm double freeing for 2x2-1, which made me puzzled. If I remove the free(B), then I crash on 2x2-0 but pass on 2x2-1. What is happening?? heeeelp</p><p></p><pre>int light_solver(queue_t Q, uint8_t width, uint8_t height){\tREQUIRES(!queue_empty(Q));\tsize_t c = 0x0000FFFF;\thdict_t HT = ht_new(c);\twhile(!queue_empty(Q))\t{\t\tbitvector* B = (bitvector*) deq(Q);\t\tuint32_t row; uint32_t col;\t\tfor (row = 0; row < height; row++) {\t\t\tfor (col = 0; col < width; col++)  {\t\t\t\tint i = get_index(row, col, width, height);\t\t\t\tbitvector N = bitvector_flip(*B, i); \t\t\t\tif(N == 0) {\t\t\t\t\tfree(B);\t\t\t\t\tfree_all(Q, HT);\t\t\t\t\treturn 0;\t\t\t\t}\t\t\t\tvoid *M = ht_lookup(HT, N);\t\t\t\tif(M == NULL) {\t\t\t\t\tstruct board_data *BD = xmalloc(sizeof(struct board_data));\t\t\t\t\tBD->board = N;\t\t\t\t\tbitvector *b = xmalloc(sizeof(bitvector));\t\t\t\t\t*b = (BD->board);\t\t\t\t\tenq(Q, (void*) b);\t\t\t\t\tht_insert(HT, (void*) BD);\t\t\t\t}\t\t\t}\t\t}\t}\tfree_all(Q, HT);\treturn 1;}</pre><p></p>",lightsout
Is there an easier way for swapping pointers?,<p>In the lab we had to write a swapping function for pointer to the struct freqinfo. I did something like</p><pre>freqinfo *temp = malloc(sizeof(freqinfo));<br />temp->word = ((freqinfo*)x)->word;<br />temp->count = ((freqinfo*)x)->count;<br />((freqinfo*)x)->word = ((freqinfo*)y)->word;<br />((freqinfo*)x)->count = ((freqinfo*)y)->count;<br />((freqinfo*)y)->count = temp->count;<br />((freqinfo*)y)->word = temp->word;<br />free(temp);</pre><p>I'm wondering whether there is an easier way of doing it. Potentially without using extra memory.</p><p></p><p></p>,labs
why can char pointers be strings,"<p>I don't get this, char* should just be a pointer to a single character , I don't get how we're able to say char* S = ""hello""</p>",written12
Dereference to incomplete type,"<p>What does this error mean? I'm debugging ht-board.c and I'm trying to access the board, but the compiler is complaining.</p><p>I typedef'd struct board_data to board if that helps<img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ix087c2ns5p656/icsj0zy84f3r8/j1maqbpfavrz/Screen_Shot_20170417_at_11.48.38_AM.png"" alt="""" /></p>",lightsout
size passed to xmalloc(),<p>What does the size that is passed to xmalloc mean? is it the number of bits being allocated?</p>,written12
Autolab test failure on uint64_t and uint8_t test cases,"<p>I haven't been able to pass these test cases and I would really appreciate some help on this. These are the test cases I failed:</p><pre>Test bitvector32-small toobig1, expect assertion failure *** TEST FAILED! Expected a contract to fail.*** Actual outcome: Your program ran to completion, but should have signaled an error or failed a contract*** Hint: Precondition tests, Task 2--------------------------------------------------Test bitvector-tiny toobig1, expect assertion failure *** TEST FAILED! Expected a contract to fail.*** Actual outcome: Your program ran to completion, but should have signaled an error or failed a contract*** Hint: Precondition tests, Task 3</pre><p></p><p>Does this mean I should have additional preconditions for my bitvector implementation in addition to i < BITVECTOR_LIMIT? I am casting all integers as bitvector.\xa0</p>",lightsout
How can I check my print statements against the loplayer,<p>Autolab told me my print statements aren't accepted by the loplayer.</p><p></p>,lightsout
Nowhere to upload written 12 on gradescope,<p>There is no link for me to upload written 12 on gradescope. How should I upload it?</p>,written12
weird test case output,"<p>I tried running my own 4x4 test case:\xa0</p><p></p><p>0##0</p><p>#00#</p><p>0##0</p><p>0000</p><p></p><p>This is trivially solvable. I know there's some bug in my code. I tried printing out the board, but for some reason, only two boards kept repeatedly printing out: the original and\xa0</p><p></p><p>0##0</p><p>#00#</p><p>0###</p><p>00##</p><p></p><p>so I think there's something up with my enq and deq, but I have no idea where to start. Could anyone give possible (helpful) suggestions? thanks</p><p></p><p></p>",lightsout
Command line arguments,<p>How do we get our first board from the command line arguments such that we have a pointer to a usable board?</p>,lightsout
Bitvector equal,"<p>If we don't know what the implementation of bitvectors are, how can we implement bitvector equal?\xa0</p><p></p><p>EDIT: Actually I will make this question more generic, so I have passed the autograder with full points for my bitvector but I know that my library interface will only work for my definition of bitvector. Is it required to have a generic bitvector equal, flip ,get etc... functions or can we use bitvector____ like it works in our hash table and lightsout code?</p><p></p><p>EDIT: HAPPY 122 What a time to be alive!!</p><p></p><p></p><p>Sterling</p>",lightsout
times out on a 3x2 but not on a 7x6?,<p>I'm a little confused as to why autolab would say that my lightsout would successfully pass a 7x6 board but time out for this test:</p><pre>Test lightsout-bitvec-is-bool-arr on boards/3x2-12.txt*** TEST FAILED! Instead of returning 0 (success) as expected*** the autograder timed out after 15 seconds.</pre><p>since you already tested for respecting the interface in a previous test:\xa0</p><pre>Testing a 5x6 board with alternate 32-bit bitarrays</pre><p>So it should be successfully passing the interface test even if the bitvector is a bool array. I'm not sure why it being a bool array would cause it to time out though.\xa0</p>,lightsout
How to hash bitvectors while respecting the interface,<p>If we have no idea what the library implementation of bitvectors are... how can we hash bitvectors? To insert into the hash_function?</p><p></p><p>Sterling</p>,lightsout
scoring,"<p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ix087c2ns5p656/ipbrvnffz864cz/j1lnbs5icd8q/Screen_Shot_20170417_at_12.53.39_AM.png"" alt="""" />why do i get a 0 even though all of these boards pass?</p>",lightsout
Exiting while loop while the loopguard is true,<p></p><pre>while (!(queue_empty(board_positions))){ASSERT(!(queue_empty(board_positions)));</pre><p>I am so confused. I have a loopguard after the body of my loop that evaluates to true but the loop still exits?? WHY IS THIS??</p><p></p><p></p>,lightsout
why won't my test case work???,<p></p><pre>20x20OOOOOOOOOOOOOOOOOOOOOOOOOO########OOOOOOOOOO##OOOOOOOO##OOOOOOO#OOOOOOOOOOOO#OOOOO#OOOOOOOOOOOOOO#OOOO#OOOOOOOOOOOOOO#OOOO#OOO########OOO#OOOOO#OOO#OOOO#OOO#OOOOOOO#OO#OOOO#OO#OOOOOOOOO#OO#OO#OO#OOOOOOOOOOO#O#OO#O#OOOOOOOOOOOO########OOOOOOOOOOOO##OOOO##OOOOOOOOOOOOO##OO##OOOOOOOOOOOOOOOO##OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO##OOOOOO###OOOOOOOOO##OOOOO#OOO#OOOOOOOO##OOOOO#OOO#OOOOOOOO####OOOO###OOOOO</pre><p></p>,lightsout
Autolab not showing score,"<p>Hey,</p><p></p><p>My autolab is not showing the score for my 5th submission.. I have waited a couple mins already.. What should I do?</p>",lightsout
Task 5,"<p>From the bottom of page 4 on the writeup: ""The key should be a pointer to the board bitvector of the same struct; you'll need to take the address of DAT->board to get this pointer.""</p><p>Why do we need to get the address to get this pointer? If we have a \xa0bitvector* key</p><p>Can't we do *key = DAT->board instead of key = &(DAT->board).</p><p>Then cast the key to a (void*) when passing it into hdict_insert()?</p><p></p><p>Also, is there a difference\xa0between casting something as (hdict_value*) or (hdict_key*) vs. (void*). The only difference that comes to mind is for clarity. If this is the case, I assume it is recommend to cast things appropriately with\xa0(hdict_value*) or (hdict_key*)?</p>",lightsout
Undefined Reference Error !!!,"<p></p><pre>/afs/andrew.cmu.edu/usr17/kyuwonk/private/15122/ProgrammingHW10/lightsout-handout/lightsout.c:58: undefined reference to `ht_new'<br />/afs/andrew.cmu.edu/usr17/kyuwonk/private/15122/ProgrammingHW10/lightsout-handout/lightsout.c:79: undefined reference to `ht_insert'<br />/afs/andrew.cmu.edu/usr17/kyuwonk/private/15122/ProgrammingHW10/lightsout-handout/lightsout.c:96: undefined reference to `ht_lookup'<br />/afs/andrew.cmu.edu/usr17/kyuwonk/private/15122/ProgrammingHW10/lightsout-handout/lightsout.c:100: undefined reference to `ht_insert'</pre><p></p><p>Having Issue with the compiler. I have the board-ht.h \xa0in the lightsout.c #include ""board-ht.h"" yet it's still not working.</p>",lightsout
Make lightsout faster,"<p>The last time I submitted into Autolab it passed all the tests except the 5x5 tests. Autolab said it timed out after 10 seconds. I tried running some of the 5x5 board given to us but it never even seems to finish. I have no clue how to possibly make it faster, I followed the breathd_first algorithm described in the writeup. Could it be the hash table size or hash function? Any hint as to what makes it slow would be greatly appreciated. I ran it on board0.txt and after a minutes it still did not finish.</p>",lightsout
What does this error mean? I'm pretty certain it's not a memory leak...,Valgrinding lightsoutValgrinding lightsout not-a-real-board.txt*** VALGRIND FAILED (SAFETY): Valgrind detected 1 errors (-1.0 points),lightsout
errors when compiling board-ht.c,"<p>What do these errors mean:</p><p></p><p><b>board-ht.c:23:5:</b> <b>error: </b>passing argument 4 of  <b>hdict_new</b>  from incompatible pointer type [-Werror]</p><p></p><p><b>board-ht.c:38:47:</b> <b>error: </b>invalid type argument of  <b>-></b>  (have  <b>struct board_data</b> )</p><p>For ^ this error, I am confused because I made the argument type the key/bitvector/DAT->board, as the writeup says and hdict_lookup mandates, so I don't understand why it is asking me to have a type ""struct board_data""</p>",lightsout
hash function,"<p>When we are writing the hash function for the interface, I understand we need to return something of type size_t. Is that also the case that the value we return should be greater than or equal to 0 and less than BITVECTOR_LIMIT. \xa0Also, when we are using the dict_new() do we pass in the capacity obtained from the wrapper or we just use BITVECTOR_LIMIT as its size?Thanks</p>",other
